movie_id,avg_rating,avg_noised_rating,rating_count,rating_variance,noised_count,noised_variance
3,3.6,3.5,[ 41  72 280 444 163],0.95,[ 75  94 227 464 140],1.17
8,3.1,3.0,[137 168 279 255 161],1.6,[186 173 237 270 134],1.72
16,3.0,3.0,[ 54 193 469 218  66],0.89,[ 88 167 486 178  81],1.02
17,2.9,2.9,[ 78 235 448 186  53],0.94,[109 198 448 163  82],1.12
18,3.7,3.5,[ 17  75 291 383 234],0.91,[ 73 113 243 360 211],1.34
26,2.8,2.9,[137 258 382 155  68],1.17,[124 211 413 152 100],1.25
28,3.8,3.7,[ 13  64 282 385 256],0.87,[ 47  89 256 373 235],1.15
30,3.7,3.5,[ 15  81 287 405 212],0.88,[ 79  95 246 359 221],1.35
32,4.1,3.9,[ 56  35 142 289 478],1.25,[ 71  69 153 290 417],1.48
33,4.2,4.1,[ 58  40 120 231 551],1.32,[ 77  63 111 187 562],1.61
44,3.7,3.5,[ 28  68 313 405 186],0.9,[ 70  82 316 366 166],1.17
45,3.0,3.0,[ 61 222 453 209  55],0.89,[101 191 437 190  81],1.11
46,3.8,3.6,[ 21  96 246 339 298],1.08,[ 80 108 240 319 253],1.45
47,3.3,3.2,[ 84 128 353 316 119],1.19,[117 111 337 310 125],1.34
48,3.7,3.5,[ 53  78 246 373 250],1.19,[ 78 114 227 370 211],1.37
