user_id,avg_rating,avg_noised_rating,rating_count,rating_variance,noised_count,noised_variance
6,3.4,3.2,[0 1 4 2 1],0.73,[1 1 2 3 1],1.44
7,4.6,3.7,[0 0 0 5 8],0.24,[1 1 3 4 4],1.44
79,3.2,3.6,[2 1 3 1 3],2.16,[1 1 1 5 2],1.44
97,3.4,3.0,[0 0 4 3 0],0.24,[3 0 1 0 3],3.43
134,4.8,3.8,[ 0  0  0  2 11],0.13,[1 0 4 4 4],1.25
169,3.7,3.3,[0 0 1 2 0],0.22,[0 0 2 1 0],0.22
183,4.0,4.2,[0 0 1 2 1],0.5,[0 0 1 1 2],0.69
188,3.2,3.0,[0 2 6 4 0],0.47,[3 0 4 4 1],1.67
195,4.0,3.6,[0 0 2 1 2],0.8,[0 0 2 3 0],0.24
199,3.9,3.3,[0 0 2 7 1],0.29,[1 2 2 3 2],1.61
201,3.6,4.0,[1 1 0 4 2],1.73,[1 0 1 2 4],1.75
265,3.6,3.1,[0 0 5 4 1],0.44,[2 0 5 1 2],1.69
268,4.8,4.2,[0 0 0 1 3],0.19,[0 1 0 0 3],1.69
283,3.3,3.3,[1 1 1 3 1],1.63,[1 0 3 2 1],1.35
291,4.0,4.0,[0 0 1 1 1],0.67,[0 0 1 1 1],0.67
296,3.8,3.8,[0 0 1 3 0],0.19,[0 1 1 0 2],1.69
298,4.0,4.4,[0 0 1 3 1],0.4,[0 0 1 1 3],0.64
302,3.5,4.2,[0 0 3 0 1],0.75,[0 0 0 3 1],0.19
304,3.7,3.5,[0 1 1 3 1],0.89,[2 0 0 1 3],3.25
305,3.8,3.2,[1 0 0 3 2],1.81,[1 1 1 2 1],1.81
383,3.4,2.3,[0 0 4 3 0],0.24,[3 0 3 1 0],1.35
424,3.7,3.2,[0 1 1 3 1],0.89,[1 1 2 0 2],2.14
437,2.8,2.7,[0 2 3 1 0],0.47,[2 0 3 0 1],1.89
462,3.0,3.7,[1 3 2 1 2],1.78,[1 0 3 2 3],1.56
477,3.5,2.3,[0 1 2 2 1],0.92,[3 1 0 1 1],2.56
481,4.3,3.9,[0 0 3 2 6],0.74,[1 0 1 6 3],1.17
485,3.5,3.5,[0 0 1 1 0],0.25,[0 0 1 1 0],0.25
527,4.1,3.3,[0 0 2 4 3],0.54,[1 1 3 2 2],1.56
536,4.0,3.0,[0 0 2 0 2],1.0,[1 0 2 0 1],2.0
561,4.7,4.0,[0 0 0 2 4],0.22,[0 1 0 3 2],1.0
592,3.6,3.4,[0 2 1 3 2],1.23,[0 2 2 3 1],0.98
596,4.0,3.8,[0 1 0 2 2],1.2,[0 1 0 3 1],0.96
602,3.9,3.9,[0 1 2 2 3],1.11,[0 0 4 1 3],0.86
609,3.9,3.9,[0 0 2 5 1],0.36,[1 0 1 3 3],1.61
614,3.8,3.8,[0 1 1 1 2],1.36,[1 0 0 2 2],2.16
684,4.4,4.0,[0 1 1 2 8],0.91,[1 0 2 4 5],1.33
695,3.0,3.7,[1 1 1 3 0],1.33,[0 1 2 1 2],1.22
735,4.0,3.3,[0 0 3 5 3],0.55,[1 2 3 3 2],1.47
742,3.8,2.4,[0 1 0 3 1],0.96,[2 0 2 1 0],1.44
756,3.4,3.6,[0 0 3 2 0],0.24,[1 0 0 3 1],1.84
766,4.0,3.6,[0 0 1 3 1],0.4,[1 0 0 3 1],1.84
769,3.5,3.2,[0 2 4 3 2],0.98,[1 3 2 3 2],1.6
785,5.0,4.3,[0 0 0 0 6],0.0,[0 0 0 4 2],0.22
788,3.3,3.6,[0 1 3 3 0],0.49,[0 1 2 3 1],0.82
834,2.8,3.0,[0 1 3 0 0],0.19,[0 2 1 0 1],1.5
906,3.4,3.6,[1 0 6 3 2],1.08,[0 2 3 5 2],0.91
933,3.6,3.6,[0 0 3 4 0],0.24,[0 1 3 1 2],1.1
979,3.6,2.8,[0 1 2 0 2],1.44,[1 1 1 2 0],1.36
981,3.4,3.5,[1 1 2 2 2],1.73,[1 0 3 2 2],1.5
998,3.2,4.2,[0 1 2 2 0],0.56,[0 1 0 1 3],1.36
1038,3.7,4.3,[0 1 0 1 1],1.56,[0 0 1 0 2],0.89
1044,3.6,3.4,[0 1 0 4 0],0.64,[1 0 1 2 1],1.84
1067,3.5,3.0,[1 0 1 0 2],2.75,[1 1 0 1 1],2.5
1070,3.2,3.5,[0 0 3 1 0],0.19,[1 0 0 2 1],2.25
1082,3.2,2.5,[0 1 1 2 0],0.69,[1 1 1 1 0],1.25
